t,0,0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7,0.72,0.74,0.76,0.78,0.8,0.82,0.84,0.86,0.88,0.9,0.92,0.94,0.96,0.98,
0,0,0.0627905,0.125333,0.187381,0.24869,0.309017,0.368125,0.425779,0.481754,0.535827,0.587785,0.637424,0.684547,0.728969,0.770513,0.809017,0.844328,0.876307,0.904827,0.929776,0.951057,0.968583,0.982287,0.992115,0.998027,1,0.998027,0.992115,0.982287,0.968583,0.951057,0.929776,0.904827,0.876307,0.844328,0.809017,0.770513,0.728969,0.684547,0.637424,0.587785,0.535827,0.481754,0.425779,0.368125,0.309017,0.24869,0.187381,0.125333,0.0627905,
0.1,-0.000695148,0.0614005,0.123251,0.184613,0.245244,0.304905,0.363361,0.42038,0.475737,0.529215,0.580602,0.629696,0.676303,0.720238,0.761329,0.799414,0.834342,0.865975,0.894189,0.918872,0.939926,0.95727,0.970835,0.980566,0.986426,0.988391,0.986455,0.980624,0.970921,0.957386,0.940071,0.919045,0.89439,0.866205,0.834601,0.799702,0.761645,0.720582,0.676675,0.630096,0.58103,0.529671,0.47622,0.42089,0.363898,0.30547,0.245835,0.185231,0.123895,0.0620699,
0.55,-0.00372158,0.0553484,0.114187,0.172561,0.230241,0.287,0.342614,0.396863,0.449534,0.500419,0.549317,0.596036,0.640392,0.682209,0.721324,0.757581,0.790838,0.820964,0.847841,0.871362,0.891436,0.907982,0.920936,0.930248,0.93588,0.937811,0.936033,0.930555,0.921396,0.908595,0.892202,0.872281,0.848913,0.822188,0.792214,0.759108,0.723002,0.684038,0.64237,0.598164,0.551594,0.502844,0.452106,0.399582,0.345479,0.29001,0.233395,0.175858,0.117626,0.0589297,
2.575,-0.0154757,0.031837,0.0789621,0.125715,0.171913,0.217375,0.261922,0.305381,0.347581,0.388356,0.427549,0.465004,0.500576,0.534125,0.565521,0.594641,0.621371,0.645607,0.667254,0.686229,0.702458,0.715878,0.726438,0.734096,0.738825,0.740606,0.739434,0.735315,0.728267,0.718317,0.705507,0.689889,0.671526,0.65049,0.626867,0.600751,0.572246,0.541466,0.508533,0.473579,0.436743,0.398172,0.358018,0.316441,0.273608,0.229687,0.184854,0.139287,0.0931666,0.046676,
4.90029,-0.025847,0.011079,0.0478453,0.0843103,0.120333,0.155776,0.1905,0.224374,0.257266,0.289049,0.319602,0.348805,0.376548,0.402723,0.42723,0.449975,0.47087,0.489837,0.506802,0.521702,0.534479,0.545087,0.553485,0.559643,0.563538,0.565159,0.5645,0.561566,0.556372,0.548939,0.5393,0.527495,0.513571,0.497587,0.479607,0.459704,0.437959,0.414459,0.3893,0.362582,0.334413,0.304905,0.274178,0.242354,0.209561,0.17593,0.141596,0.106695,0.0713678,0.0357554,
7.22558,-0.0336485,-0.00454873,0.0244003,0.0530904,0.0814143,0.109266,0.136541,0.163138,0.188956,0.213898,0.237873,0.260788,0.28256,0.303106,0.32235,0.34022,0.35665,0.371578,0.384951,0.39672,0.40684,0.415277,0.422,0.426986,0.430219,0.43169,0.431395,0.429339,0.425534,0.419996,0.412752,0.403831,0.393273,0.381121,0.367426,0.352245,0.33564,0.317679,0.298435,0.277987,0.256418,0.233815,0.21027,0.185877,0.160736,0.134948,0.108616,0.0818466,0.0547481,0.0274292,
9.67997,-0.0397767,-0.0168389,0.00594231,0.0284864,0.0507136,0.072545,0.0939028,0.114711,0.134895,0.154384,0.173107,0.190998,0.207992,0.22403,0.239054,0.253011,0.265852,0.277532,0.28801,0.29725,0.30522,0.311894,0.317251,0.321272,0.323948,0.325272,0.325242,0.323862,0.321142,0.317096,0.311744,0.305109,0.297221,0.288115,0.27783,0.266408,0.253899,0.240354,0.22583,0.210386,0.194085,0.176996,0.159187,0.140732,0.121705,0.102185,0.0822495,0.0619807,0.0414606,0.0207724,
12.2183,-0.0444098,-0.026146,-0.00805718,0.00979867,0.027364,0.0445819,0.0613962,0.0777518,0.0935951,0.108874,0.123538,0.137539,0.15083,0.163369,0.175113,0.186024,0.196067,0.205209,0.213422,0.220679,0.226958,0.232241,0.236512,0.23976,0.241977,0.24316,0.243309,0.242427,0.240523,0.237608,0.233699,0.228813,0.222974,0.216208,0.208546,0.200022,0.190671,0.180533,0.169652,0.158074,0.145846,0.133019,0.119647,0.105785,0.0914897,0.0768201,0.0618363,0.0465997,0.0311727,0.0156182,
14.8578,-0.0478679,-0.0331097,-0.0185552,-0.00424381,0.00978522,0.0234929,0.0368408,0.049791,0.0623066,0.0743516,0.0858914,0.0968925,0.107323,0.117153,0.126354,0.134899,0.142765,0.149929,0.156371,0.162074,0.167023,0.171206,0.174613,0.177236,0.179073,0.180121,0.180382,0.179859,0.17856,0.176495,0.173677,0.170119,0.165841,0.160864,0.155209,0.148904,0.141975,0.134454,0.126373,0.117766,0.108671,0.0991259,0.0891702,0.0788459,0.0681961,0.0572649,0.0460976,0.0347403,0.02324,0.011644,
17.6154,-0.0503997,-0.0382266,-0.0262946,-0.0146276,-0.00324958,0.00781548,0.0185437,0.0289116,0.038896,0.0484743,0.0576245,0.0663257,0.0745577,0.0823014,0.0895389,0.0962537,0.10243,0.108055,0.113117,0.117603,0.121507,0.12482,0.127537,0.129656,0.131174,0.132092,0.132413,0.132142,0.131284,0.129848,0.127844,0.125285,0.122185,0.11856,0.114428,0.10981,0.104725,0.0991974,0.0932519,0.0869145,0.0802127,0.0731753,0.0658323,0.0582149,0.0503552,0.0422861,0.0340413,0.0256553,0.0171628,0.00859923,
20,-0.0519362,-0.0413479,-0.0310374,-0.0210176,-0.0113013,-0.0019019,0.00716718,0.0158924,0.0242604,0.0322579,0.039872,0.0470902,0.0539005,0.0602916,0.0662528,0.0717744,0.0768473,0.0814636,0.0856164,0.0892999,0.0925095,0.0952418,0.0974947,0.0992673,0.10056,0.101375,0.101716,0.101588,0.100996,0.0999477,0.0984532,0.0965225,0.0941674,0.0914012,0.0882385,0.0846952,0.0807884,0.0765363,0.0719586,0.0670759,0.0619096,0.0564825,0.050818,0.0449403,0.0388745,0.0326463,0.0262818,0.0198077,0.0132511,0.00663938,
