t,Vr-->,z_V,0,1,2,3,4,5,6
1.30725e-06,100,-6.47021e-06,-4.21002e-05,7.22538e-06,-7.25301e-06,3.1314e-05,-0.000182629,-1.20788e-05,

1.30725e-06,5,305,304.999,305,305,305,304.999,305,
1.30725e-06,10,305,304.999,305,305,305,304.999,305,
1.30725e-06,15,305,304.999,305,305,305,304.999,305,
1.30725e-06,20,305,304.999,305,305,305,304.999,305,
1.30725e-06,25,305,304.999,305,305,305,304.999,305,
1.30725e-06,30,305,304.999,305,305,305,304.999,305,
1.30725e-06,35,305,304.999,305,305,305,304.999,305,
1.30725e-06,40,305,304.999,305,305,305,304.999,305,
1.30725e-06,45,305,304.999,305,305,305,304.999,305,
1.30725e-06,50,305,304.999,305,305,305,304.999,305,
1.30725e-06,55,305,304.999,305,305,305,304.999,305,
1.30725e-06,60,305,304.999,305,305,305,304.999,305,
1.30725e-06,65,305,304.999,305,305,305,304.999,305,
1.30725e-06,70,305,304.999,305,305,305,304.999,305,
1.30725e-06,75,305,304.999,305,305,305,304.999,305,
1.30725e-06,80,305,304.999,305,305,305,304.999,305,
1.30725e-06,85,305,304.999,305,305,305,304.999,305,
1.30725e-06,90,305,304.999,305,305,305,304.999,305,
1.30725e-06,95,305,304.999,305,305,305,304.999,305,
1.30725e-06,100,305,304.999,305,305,305,304.999,305,

t_Vr-->,z_V,0,1,2,3,4,5,6
1.77704e-06,5,-3.62247e-06,-2.34951e-05,4.03622e-06,-2.12595e-05,9.18768e-05,-0.000535701,-3.66773e-05,
1.77704e-06,10,-6.47202e-06,-4.19896e-05,7.20692e-06,-1.01245e-05,4.37461e-05,-0.00025508,-1.74667e-05,
1.77704e-06,15,3.20563e-11,6.35611e-09,-1.08336e-09,-1.71596e-12,7.4092e-12,-4.32052e-11,-2.94014e-12,
1.77704e-06,20,-3.62602e-06,-2.34986e-05,4.03266e-06,-2.12411e-05,9.17806e-05,-0.000535161,-3.66785e-05,
1.77704e-06,25,-6.47202e-06,-4.19896e-05,7.20692e-06,-1.01245e-05,4.37461e-05,-0.00025508,-1.74667e-05,
1.77704e-06,30,1.82167e-11,6.34498e-09,-1.0816e-09,-1.16884e-07,4.94211e-07,-2.8991e-06,-1.23048e-08,
1.77704e-06,35,-3.62602e-06,-2.34986e-05,4.03266e-06,-2.12411e-05,9.17806e-05,-0.000535161,-3.66785e-05,
1.77704e-06,40,-6.47202e-06,-4.19896e-05,7.20692e-06,-1.01245e-05,4.37461e-05,-0.00025508,-1.74667e-05,
1.77704e-06,45,1.82167e-11,6.34498e-09,-1.0816e-09,-1.16884e-07,4.94211e-07,-2.8991e-06,-1.23048e-08,
1.77704e-06,50,-3.62602e-06,-2.34986e-05,4.03266e-06,-2.12411e-05,9.17806e-05,-0.000535161,-3.66785e-05,
1.77704e-06,55,-6.47203e-06,-4.19896e-05,7.20692e-06,-1.01702e-05,4.39423e-05,-0.000256226,-1.75269e-05,
1.77704e-06,60,1.82167e-11,6.34498e-09,-1.0816e-09,-1.16884e-07,4.94211e-07,-2.8991e-06,-1.23048e-08,
1.77704e-06,65,-2.03175e-06,-1.49527e-05,2.56365e-06,-2.12411e-05,9.17806e-05,-0.000535161,-3.66784e-05,
1.77704e-06,70,-6.47204e-06,-4.19896e-05,7.20692e-06,-1.02686e-05,4.43652e-05,-0.000258695,-1.76567e-05,
